Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/25/2026,06/25/2026,STATUE CRUISES,Travel,Sale,-105.20,
06/13/2026,06/15/2026,TACO BELL 742453,Food & Drink,Sale,-9.47,
06/13/2026,06/14/2026,UBER   *TRIP,Travel,Sale,-36.55,
06/12/2026,06/14/2026,TACO BELL 742453,Food & Drink,Sale,-9.47,
06/10/2026,06/12/2026,FLAVORFULL,Food & Drink,Sale,-17.15,
06/09/2026,06/09/2026,Payment Thank You - Bill,,Payment,148.71,
05/30/2026,06/01/2026,TST*THE DUCK DIVE,Food & Drink,Sale,-92.67,
05/28/2026,05/31/2026,FLAVORFULL,Food & Drink,Sale,-17.15,
